Feature,Target,Profile,Trace,Command
reqwest,aarch64-unknown-linux-gnu,release,strace,cargo build --target aarch64-unknown-linux-gnu --features reqwest --release
reqwest,aarch64-unknown-linux-gnu,release,perf,cargo build --target aarch64-unknown-linux-gnu --features reqwest --release
reqwest,aarch64-unknown-linux-gnu,release,coverage,cargo build --target aarch64-unknown-linux-gnu --features reqwest --release
self-build,x86_64-unknown-linux-gnu,dev,basic,cargo build --target x86_64-unknown-linux-gnu --features self-build
self-build,x86_64-unknown-linux-gnu,dev,strace,cargo build --target x86_64-unknown-linux-gnu --features self-build
self-build,x86_64-unknown-linux-gnu,dev,perf,cargo build --target x86_64-unknown-linux-gnu --features self-build
self-build,x86_64-unknown-linux-gnu,dev,coverage,cargo build --target x86_64-unknown-linux-gnu --features self-build
self-build,x86_64-unknown-linux-gnu,release,basic,cargo build --target x86_64-unknown-linux-gnu --features self-build --release
self-build,x86_64-unknown-linux-gnu,release,strace,cargo build --target x86_64-unknown-linux-gnu --features self-build --release
self-build,x86_64-unknown-linux-gnu,release,perf,cargo build --target x86_64-unknown-linux-gnu --features self-build --release
self-build,x86_64-unknown-linux-gnu,release,coverage,cargo build --target x86_64-unknown-linux-gnu --features self-build --release
self-build,aarch64-unknown-linux-gnu,dev,basic,cargo build --target aarch64-unknown-linux-gnu --features self-build
self-build,aarch64-unknown-linux-gnu,dev,strace,cargo build --target aarch64-unknown-linux-gnu --features self-build
self-build,aarch64-unknown-linux-gnu,dev,perf,cargo build --target aarch64-unknown-linux-gnu --features self-build
self-build,aarch64-unknown-linux-gnu,dev,coverage,cargo build --target aarch64-unknown-linux-gnu --features self-build
self-build,aarch64-unknown-linux-gnu,release,basic,cargo build --target aarch64-unknown-linux-gnu --features self-build --release
self-build,aarch64-unknown-linux-gnu,release,strace,cargo build --target aarch64-unknown-linux-gnu --features self-build --release
self-build,aarch64-unknown-linux-gnu,release,perf,cargo build --target aarch64-unknown-linux-gnu --features self-build --release
self-build,aarch64-unknown-linux-gnu,release,coverage,cargo build --target aarch64-unknown-linux-gnu --features self-build --release
uuid,x86_64-unknown-linux-gnu,dev,basic,cargo build --target x86_64-unknown-linux-gnu --features uuid
